first name,email id,quantity,events,attendee status,college name,how did you come to know about this event?,designation,year of graduation,city,cgpa,experience with python (months),family income,expected salary (lac),leadership- skills,family_income_calculated
scott,scott@xyz.com,1,Product Marketing,Attending,"vidyalankar institute of technology, mumbai",Whatsapp,Students,2023,Tezpur,7.4,3,0-2 Lakh,8,yes,2
arturo,arturo@xyz.com,1,Product Marketing,Attending,wilson college ,Cloud Counselage Website,Students,2023,Burani,7.3,3,0-2 Lakh,21,no,2
ashley,ashley@xyz.com,1,Product Marketing,Attending,"ld college of engineering, ahmedabad, gujarat ",Email,Students,2024,Dehri,9.7,3,0-2 Lakh,5,no,2
jacob,jacob@xyz.com,1,Product Marketing,Attending,"ld college of engineering, ahmedabad, gujarat ",Email,Students,2025,Bhandara,7.2,7,0-2 Lakh,21,no,2
sherry,sherry@xyz.com,1,Product Marketing,Attending,g h raisoni institut of engineering and technology pune,Email,Students,2026,Bhsawal,7.1,5,0-2 Lakh,8,no,2
frances,frances@xyz.com,1,Product Marketing,Attending,government polytechnic gandhinagar,Email,Students,2024,Bid,8.7,4,0-2 Lakh,7,no,2
gerald,gerald@xyz.com,1,Product Marketing,Attending,"kle society's college of bca, rls institute, belagavi",Email,Students,2023,Jalgaon,6.8,3,0-2 Lakh,13,yes,2
christy,christy@xyz.com,1,Product Marketing,Attending,st.francis institute of technology,Email,Students,2025,Thane,8.5,3,0-2 Lakh,17,no ,2
kelly,kelly@xyz.com,1,Product Marketing,Attending,"symbiosis institute of technology, pune",Cloud Counselage Website,Students,2026,Nagpur,6.7,4,0-2 Lakh,8,yes,2
katherine,katherine@xyz.com,1,Product Marketing,Attending,"mit academy of engineering ,alandi",Whatsapp,Students,2024,Nanded,6.7,3,0-2 Lakh,9,no,2
jeanne,jeanne@xyz.com,1,Product Marketing,Attending,a. c. patil college of engineering,Whatsapp,Students,2023,Mahe,8.2,7,0-2 Lakh,8,no,2
keri,keri@xyz.com,1,Product Marketing,Attending,"ld college of engineering, ahmedabad, gujarat ",Team entity,Students,2024,Patiala,8.7,4,0-2 Lakh,25,yes,2
katrina,katrina@xyz.com,1,Product Marketing,Attending,dkte society's textile and engineering institute ichalkaranji,Whatsapp,Students,2023,Sangrur,9.1,7,0-2 Lakh,21,no,2
debra,debra@xyz.com,1,Product Marketing,Attending,"mit academy of engineering ,alandi",Whatsapp,Students,2025,Ajmer,8.9,3,0-2 Lakh,30,no,2
kathleen,kathleen@xyz.com,1,Product Marketing,Attending,a. c. patil college of engineering,Whatsapp,Students,2026,Amer,7.4,5,0-2 Lakh,24,no,2
terry,terry@xyz.com,1,Product Marketing,Attending,wilson college ,Whatsapp,Students,2024,Barmer,7.3,5,0-2 Lakh,8,no,2
jason,jason@xyz.com,1,Product Marketing,Attending,dkte society's textile and engineering institute ichalkaranji,Youtube,Students,2023,Jaipur,9.2,4,0-2 Lakh,21,yes,2
hobert,hobert@xyz.com,1,Product Marketing,Attending,"thakur institute of management studies, career development & research - [timscdr]",Email,Students,2024,Jalor,7.8,7,0-2 Lakh,17,yes,2
cody,cody@xyz.com,1,Product Marketing,Attending,lokmanya tilak college of engineering koparkhairane navi mumbai,Whatsapp,Students,2025,Jhalwar,7.9,7,0-2 Lakh,18,no ,2
edna,edna@xyz.com,1,Product Marketing,Attending,"vidyalankar institute of technology, mumbai",Email,Students,2023,Kota,8.1,5,0-2 Lakh,8,yes,2
joshua,joshua@xyz.com,1,Product Marketing,Attending,pillai college of engineering new panvel,Email,Students,2025,Dwarka,6.2,5,0-2 Lakh,7,yes,2
amber,amber@xyz.com,1,Product Marketing,Attending,"vidyalankar institute of technology, mumbai",SPOC/ College Professor,Students,2023,Jamnagar,7.2,5,0-2 Lakh,8,no,2
cheryl,cheryl@xyz.com,1,Product Marketing,Attending,chhattisgarh swami vivekananda technical university teaching department bhilai,Instagram,Students,2024,Morbi,8.4,7,0-2 Lakh,6,no,2
kathy,kathy@xyz.com,1,IAC - Q&A,Attending,adhiyamaan college of engineering,Whatsapp,Students,2023,Navsari,6.6,7,2-5 Lakh,7,yes,5
marina,marina@xyz.com,1,IAC - Q&A,Attending,"vidyalankar institute of technology, mumbai",Whatsapp,Students,2024,Valsad,6.3,4,0-2 Lakh,8,yes,2
eugene,eugene@xyz.com,1,IAC - Q&A,Attending,government polytechnic gandhinagar,Whatsapp,Students,2023,Ambala,8.9,3,0-2 Lakh,11,no,2
sharon,sharon@xyz.com,1,IAC - Q&A,Attending,"b. k. birla college of arts, science & commerce (autonomous), kalyan",Whatsapp,Students,2023,Chandigarh,9.5,7,0-2 Lakh,20,no,2
micheal,micheal@xyz.com,1,IAC - Q&A,Attending,st.francis institute of technology,Whatsapp,Students,2024,Vijaywada,7.9,3,0-2 Lakh,5,no,2
clay,clay@xyz.com,1,IAC - Q&A,Attending,late g. n. sapkal college of engineering,Whatsapp,Students,2023,Guwahati,8.3,7,0-2 Lakh,9,no,2
wayne,wayne@xyz.com,1,IAC - Q&A,Attending,"symbiosis institute of technology, pune",Whatsapp,Principal,2026,Nagaon,6.4,7,0-2 Lakh,13,no,2
kathryn,kathryn@xyz.com,1,IAC - Q&A,Attending,"mit academy of engineering ,alandi",Whatsapp,Students,2025,Tezpur,7.5,5,0-2 Lakh,15,yes,2
della,della@xyz.com,1,IAC - Q&A,Attending,a. c. patil college of engineering,Whatsapp,Principal,2024,Sivasagar,7.7,4,0-2 Lakh,14,yes,2
christian,christian@xyz.com,1,IAC - Q&A,Attending,"ld college of engineering, ahmedabad, gujarat ",Whatsapp,Asst. Professor,2023,Dehri,7.6,5,0-2 Lakh,5,no ,2
doris,doris@xyz.com,1,IAC - Q&A,Attending,lokmanya tilak college of engineering koparkhairane navi mumbai,Whatsapp,Students,2024,Bhsawal,7.4,4,0-2 Lakh,14,no,2
luis,luis@xyz.com,1,IAC - Q&A,Attending,"priyadarshini college of engineering, nagpur ",Whatsapp,Students,2026,Bid,9.2,4,0-2 Lakh,16,no,2
lana,lana@xyz.com,1,IAC - Q&A,Attending,"vidyalankar institute of technology, mumbai",Whatsapp,Principal,2023,Buldhana,7.6,7,0-2 Lakh,9,no,2
josh,josh@xyz.com,1,IAC - Q&A,Attending,chhattisgarh swami vivekananda technical university teaching department bhilai,Whatsapp,Students,2025,Dhule,8.7,7,0-2 Lakh,8,yes,2
kent,kent@xyz.com,1,IAC - Q&A,Attending,silicon institute of technology,Whatsapp,Principal,2024,Jalgaon,9.5,5,0-2 Lakh,9,no,2
leo,leo@xyz.com,1,IAC - Q&A,Attending,adhiyamaan college of engineering,Whatsapp,Asst. Professor,2023,Kalyan,6.9,7,0-2 Lakh,7,no,2
melissa,melissa@xyz.com,1,IAC - Q&A,Attending,don bosco college of engineering fatorda goa,Whatsapp,Students,2024,Thane,9.2,4,0-2 Lakh,8,no,2
earline,earline@xyz.com,1,IAC - Q&A,Attending,pillai college of engineering new panvel,Whatsapp,Students,2025,Navi Mumbai,6.9,5,0-2 Lakh,6,no,2
cordelia,cordelia@xyz.com,1,IAC - Q&A,Attending,st xavier's college ,Whatsapp,Students,2025,Mumbai,7.2,4,0-2 Lakh,8,no,2
francisco,francisco@xyz.com,1,IAC - Q&A,Attending,"s.i.e.s. graduate school of technology, nerul, navi mumbai",Whatsapp,Students,2024,Nanded,6.5,4,0-2 Lakh,5,yes,2
garry,garry@xyz.com,1,IAC - Q&A,Attending,"vishwakarma institute of technology, pune",Whatsapp,Students,2023,Sangrur,6.5,5,0-2 Lakh,7,yes,2
neal,neal@xyz.com,1,IAC - Q&A,Attending,"kle society's college of bca, rls institute, belagavi",Whatsapp,HoD,2025,Ajmer,7.3,3,7 Lakh+,5,no,7
brett,brett@xyz.com,1,IAC - Q&A,Attending,g h raisoni institut of engineering and technology pune,Whatsapp,Professor,2025,Amer,6.7,7,0-2 Lakh,8,no,2
jesse,jesse@xyz.com,1,IAC - Q&A,Attending,"b. k. birla college of arts, science & commerce (autonomous), kalyan",Whatsapp,Students,2024,Bikaner,6.7,3,0-2 Lakh,18,yes,2
marc,marc@xyz.com,1,IAC - Q&A,Attending,"vishwakarma institute of technology, pune",Whatsapp,Asst. Professor,2023,Jaipur,9.0,4,0-2 Lakh,23,no,2
jeffery,jeffery@xyz.com,1,IAC - Q&A,Attending,"kle society's college of bca, rls institute, belagavi",Whatsapp,Professor,2023,Jalor,7.2,3,0-2 Lakh,5,no,2
carolyn,carolyn@xyz.com,1,IAC - Q&A,Attending,st.francis institute of technology,Whatsapp,Students,2025,Jodhpur,6.5,7,0-2 Lakh,9,no,2
paulette,paulette@xyz.com,1,IAC - Q&A,Attending,new horizon institute of technology and management ,Whatsapp,Asst. Professor,2025,Kota,6.6,7,0-2 Lakh,9,no,2
elvin,elvin@xyz.com,1,IAC - Q&A,Attending,late g. n. sapkal college of engineering,Whatsapp,Students,2023,Pali,9.5,5,0-2 Lakh,17,yes,2
shirley,shirley@xyz.com,1,IAC - Q&A,Attending,"symbiosis institute of technology, pune",Whatsapp,Principal,2024,Sikar,8.1,5,0-2 Lakh,13,yes,2
thelma,thelma@xyz.com,1,IAC - Q&A,Attending,"mit academy of engineering ,alandi",Whatsapp,Students,2024,Ahemdabad,9.7,4,2-5 Lakh,11,no ,5
jackie,jackie@xyz.com,1,IAC - Q&A,Attending,a. c. patil college of engineering,Whatsapp,Principal,2023,Amreli,9.3,4,0-2 Lakh,15,no ,2
pedro,pedro@xyz.com,1,IAC - Q&A,Attending,wilson college ,Whatsapp,Asst. Professor,2026,Dwarka,9.1,7,0-2 Lakh,19,yes,2
paula,paula@xyz.com,1,IAC - Q&A,Attending,"ld college of engineering, ahmedabad, gujarat ",Whatsapp,Students,2023,Godhra,7.6,4,0-2 Lakh,18,yes,2
sergio,sergio@xyz.com,1,IAC - Q&A,Attending,dkte society's textile and engineering institute ichalkaranji,Whatsapp,Students,2025,Amravati,7.8,7,0-2 Lakh,12,no,2
glenn,glenn@xyz.com,1,IAC - Q&A,Attending,"ld college of engineering, ahmedabad, gujarat ",Whatsapp,Students,2025,Kunrool,7.9,4,0-2 Lakh,23,no,2
lillie,lillie@xyz.com,1,IAC - Q&A,Attending,"vishwakarma institute of technology, pune",Whatsapp,Asst. Professor,2023,Guwahati,9.4,5,0-2 Lakh,13,no,2
sandra,sandra@xyz.com,1,IAC - Q&A,Attending,new horizon institute of technology and management ,Whatsapp,HoD,2025,Burani,7.7,7,0-2 Lakh,6,yes,2
chasity,chasity@xyz.com,1,IAC - Q&A,Attending,late g. n. sapkal college of engineering,Whatsapp,Asst. Professor,2024,Dehri,7.5,5,0-2 Lakh,9,yes,2
alicia,alicia@xyz.com,1,IAC - Q&A,Attending,a. c. patil college of engineering,Whatsapp,Students,2025,Gaya,7.3,4,0-2 Lakh,17,yes,2
mamie,mamie@xyz.com,1,IAC - Q&A,Attending,wilson college ,Whatsapp,Students,2024,Haijipur,7.3,7,0-2 Lakh,19,yes,2
steven,steven@xyz.com,1,IAC - Q&A,Attending,"ld college of engineering, ahmedabad, gujarat ",Whatsapp,Students,2026,Jamalpur,9.4,7,0-2 Lakh,21,no,2
bridget,bridget@xyz.com,1,IAC - Q&A,Attending,dkte society's textile and engineering institute ichalkaranji,Whatsapp,Students,2025,Kaithar,6.6,5,0-2 Lakh,18,no,2
dominique,dominique@xyz.com,1,IAC - Q&A,Attending,"vidyalankar institute of technology, mumbai",Whatsapp,Students,2024,Munger,8.5,7,0-2 Lakh,21,yes,2
gloria,gloria@xyz.com,1,IAC - Q&A,Attending,chhattisgarh swami vivekananda technical university teaching department bhilai,Whatsapp,Students,2023,Patna,7.7,3,0-2 Lakh,23,no,2
lyle,lyle@xyz.com,1,IAC - Q&A,Attending,adhiyamaan college of engineering,Whatsapp,Students,2025,Sasaram,7.9,7,0-2 Lakh,15,no,2
ina,ina@xyz.com,1,IAC - Q&A,Attending,don bosco college of engineering fatorda goa,Whatsapp,Students,2023,Siwan,7.1,7,0-2 Lakh,12,no,2
keith,keith@xyz.com,1,IAC - Q&A,Attending,pillai college of engineering new panvel,Whatsapp,Students,2025,Chandigarh,8.3,5,0-2 Lakh,20,no,2
sean,sean@xyz.com,1,IAC - Q&A,Attending,st xavier's college ,Whatsapp,HoD,2026,Ambikapur,7.7,3,0-2 Lakh,21,yes,2
deborah,deborah@xyz.com,1,IAC - Q&A,Attending,government polytechnic gandhinagar,Whatsapp,Students,2024,Durg,6.5,5,0-2 Lakh,9,no ,2
joanna,joanna@xyz.com,1,IAC - Q&A,Attending,"b. k. birla college of arts, science & commerce (autonomous), kalyan",Whatsapp,HoD,2023,Raipur,9.4,3,0-2 Lakh,8,no ,2
janette,janette@xyz.com,1,IAC - Q&A,Attending,st.francis institute of technology,Whatsapp,HoD,2024,Delhi,9.3,3,0-2 Lakh,16,no,2
doreen,doreen@xyz.com,1,IAC - Q&A,Attending,late g. n. sapkal college of engineering,Whatsapp,Students,2023,Panji,8.9,5,0-2 Lakh,8,yes,2
patricia,patricia@xyz.com,1,IAC - Q&A,Attending,a. c. patil college of engineering,Whatsapp,Students,2024,Amreli,8.1,4,0-2 Lakh,9,no,2
lillian,lillian@xyz.com,1,IAC - Q&A,Attending,wilson college ,Whatsapp,HoD,2025,Dwarka,9.5,3,0-2 Lakh,13,no,2
randolph,randolph@xyz.com,1,IAC - Q&A,Attending,"ld college of engineering, ahmedabad, gujarat ",Whatsapp,Students,2025,Godhra,9.6,7,0-2 Lakh,24,no,2
drew,drew@xyz.com,1,IAC - Q&A,Attending,dkte society's textile and engineering institute ichalkaranji,Whatsapp,HoD,2023,Jamnagar,7.5,3,0-2 Lakh,17,yes,2
leslie,leslie@xyz.com,1,IAC - Q&A,Attending,"thakur institute of management studies, career development & research - [timscdr]",Whatsapp,HoD,2024,Junagadh,7.9,4,0-2 Lakh,11,yes,2
antonio,antonio@xyz.com,1,IAC - Q&A,Attending,chhattisgarh swami vivekananda technical university teaching department bhilai,Whatsapp,Students,2023,Navsari,7.3,4,0-2 Lakh,8,yes,2
alice,alice@xyz.com,1,IAC - Q&A,Attending,silicon institute of technology,Whatsapp,HoD,2025,Okha,7.5,5,0-2 Lakh,7,no,2
judith,judith@xyz.com,1,IAC - Q&A,Attending,adhiyamaan college of engineering,Whatsapp,HoD,2026,Rajkot,7.6,3,0-2 Lakh,25,no,2
carla,carla@xyz.com,1,IAC - Q&A,Attending,don bosco college of engineering fatorda goa,Whatsapp,Students,2024,Surat,8.0,7,0-2 Lakh,21,no,2
manuel,manuel@xyz.com,1,IAC - Q&A,Attending,st xavier's college ,Whatsapp,Students,2023,Ambala,9.1,5,0-2 Lakh,24,no,2
marianne,marianne@xyz.com,1,IAC - Q&A,Attending,g h raisoni institut of engineering and technology pune,Whatsapp,Students,2025,Gurugram,7.1,4,0-2 Lakh,21,no,2
judy,judy@xyz.com,1,IAC - Q&A,Attending,"vishwakarma institute of technology, pune",Whatsapp,Students,2024,Kaithal,7.9,3,0-2 Lakh,9,yes,2
kenya,kenya@xyz.com,1,IAC - Q&A,Attending,"kle society's college of bca, rls institute, belagavi",Whatsapp,Asst. Professor,2023,Karnal,7.3,3,0-2 Lakh,8,no ,2
lourdes,lourdes@xyz.com,1,IAC - Q&A,Attending,g h raisoni institut of engineering and technology pune,Whatsapp,Professor,2024,Panipat,7.3,4,0-2 Lakh,8,no ,2
emil,emil@xyz.com,1,IAC - Q&A,Attending,government polytechnic gandhinagar,Whatsapp,Students,2025,Rewari,7.8,5,0-2 Lakh,8,yes,2
sheila,sheila@xyz.com,1,IAC - Q&A,Attending,"kle society's college of bca, rls institute, belagavi",Whatsapp,Students,2024,Sonipat,8.4,7,0-2 Lakh,9,no,2
delores,delores@xyz.com,1,IAC - Q&A,Attending,"priyadarshini college of engineering, nagpur ",Whatsapp,Students,2026,Chamba,6.7,3,0-2 Lakh,9,no,2
laura,laura@xyz.com,1,IAC - Q&A,Attending,late g. n. sapkal college of engineering,Whatsapp,Asst. Professor,2023,kullu,7.9,5,0-2 Lakh,11,no,2
alise,alise@xyz.com,1,IAC - Q&A,Attending,"symbiosis institute of technology, pune",Whatsapp,HoD,2025,Mandi,9.9,7,0-2 Lakh,15,no,2
daryl,daryl@xyz.com,1,IAC - Q&A,Attending,"mit academy of engineering ,alandi",Whatsapp,Students,2025,Shimla,7.6,5,0-2 Lakh,19,no,2
melanie,melanie@xyz.com,1,IAC - Q&A,Attending,a. c. patil college of engineering,Whatsapp,Students,2024,Una,9.3,7,0-2 Lakh,18,no,2
terrell,terrell@xyz.com,1,IAC - Q&A,Attending,wilson college ,Whatsapp,Asst. Professor,2024,Anantnag,6.4,7,0-2 Lakh,12,yes,2
kristy,kristy@xyz.com,1,IAC - Q&A,Attending,"ld college of engineering, ahmedabad, gujarat ",Whatsapp,Asst. Professor,2023,Baramula,8.4,3,0-2 Lakh,23,yes,2
mitchell,mitchell@xyz.com,1,IAC - Q&A,Attending,dkte society's textile and engineering institute ichalkaranji,Whatsapp,Students,2023,Doda,6.6,3,0-2 Lakh,8,no ,2
roy,roy@xyz.com,1,IAC - Q&A,Attending,"ld college of engineering, ahmedabad, gujarat ",Whatsapp,Students,2026,Gulmarg,7.8,4,0-2 Lakh,9,no ,2
tommy,tommy@xyz.com,1,IAC - Q&A,Attending,government polytechnic gandhinagar,Whatsapp,Asst. Professor,2024,Punch,7.2,4,0-2 Lakh,13,yes,2
warren,warren@xyz.com,1,IAC - Q&A,Attending,"b. k. birla college of arts, science & commerce (autonomous), kalyan",Whatsapp,Students,2025,Rajouri,7.1,7,0-2 Lakh,19,no,2
alan,alan@xyz.com,1,IAC - Q&A,Attending,ap shah institute of technology ,Whatsapp,Students,2024,Udhampur,8.5,5,0-2 Lakh,22,no,2
juanita,juanita@xyz.com,1,IAC - Q&A,Attending,don bosco college of engineering fatorda goa,Whatsapp,Students,2023,Badmi,8.5,5,0-2 Lakh,6,yes,2
darryl,darryl@xyz.com,1,IAC - Q&A,Attending,pillai college of engineering new panvel,Whatsapp,Students,2026,Ballari,9.1,5,0-2 Lakh,9,no,2
clara,clara@xyz.com,1,IAC - Q&A,Attending,"vidyalankar institute of technology, mumbai",Whatsapp,Students,2025,Belgavi,8.7,4,0-2 Lakh,15,no,2
stacey,stacey@xyz.com,1,IAC - Q&A,Attending,"s.i.e.s. graduate school of technology, nerul, navi mumbai",Whatsapp,Principal,2025,Bidar,6.5,3,0-2 Lakh,17,no,2
tony,tony@xyz.com,1,IAC - Q&A,Attending,g h raisoni institut of engineering and technology pune,Whatsapp,Students,2023,Hasan,8.8,4,0-2 Lakh,19,no,2
andrew,andrew@xyz.com,1,IAC - Q&A,Attending,"b. k. birla college of arts, science & commerce (autonomous), kalyan",Whatsapp,Students,2024,Mysuru,7.6,4,0-2 Lakh,11,yes,2
elena,elena@xyz.com,1,IAC - Q&A,Attending,"vishwakarma institute of technology, pune",Whatsapp,Asst. Professor,2023,Kochi,6.5,4,0-2 Lakh,12,no ,2
ricardo,ricardo@xyz.com,1,IAC - Q&A,Attending,late g. n. sapkal college of engineering,Whatsapp,Students,2025,Thrissur,9.1,7,0-2 Lakh,10,yes,2
faye,faye@xyz.com,1,IAC - Q&A,Attending,"mit academy of engineering ,alandi",Whatsapp,Students,2025,Dhar,7.3,7,0-2 Lakh,15,no,2
cora,cora@xyz.com,1,IAC - Q&A,Attending,a. c. patil college of engineering,Whatsapp,Asst. Professor,2024,Indore,7.6,3,7 Lakh+,12,no,7
leigh,leigh@xyz.com,1,IAC - Q&A,Attending,"ld college of engineering, ahmedabad, gujarat ",Whatsapp,Students,2024,Gwalior,8.3,7,5-7 Lakh,21,yes,7
marjorie,marjorie@xyz.com,1,IAC - Q&A,Attending,dkte society's textile and engineering institute ichalkaranji,Whatsapp,Students,2023,Narwar,9.2,3,2-5 Lakh,9,no,5
robyn,robyn@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"thakur institute of management studies, career development & research - [timscdr]",Whatsapp,Students,2023,Orchha,9.9,4,0-2 Lakh,9,no,2
gabrielle,gabrielle@xyz.com,1,Internship Program(IP) Success Conclave,Attending,lokmanya tilak college of engineering koparkhairane navi mumbai,Whatsapp,Computer Engineer,2024,Sagar,9.3,7,0-2 Lakh,21,no,2
clark,clark@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"priyadarshini college of engineering, nagpur ",Whatsapp,Interior designer,2023,Satna,7.1,4,2-5 Lakh,18,no,5
vanessa,vanessa@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"vidyalankar institute of technology, mumbai",Whatsapp,Students,2024,Ujjain,7.5,4,0-2 Lakh,19,no,2
frederic,frederic@xyz.com,1,Internship Program(IP) Success Conclave,Attending,chhattisgarh swami vivekananda technical university teaching department bhilai,Whatsapp,CVO,2025,Vidisha,7.3,3,0-2 Lakh,21,yes,2
kayla,kayla@xyz.com,1,Internship Program(IP) Success Conclave,Attending,silicon institute of technology,Whatsapp,Web Development,2025,Akola,7.4,3,0-2 Lakh,23,yes,2
latoya,latoya@xyz.com,1,Internship Program(IP) Success Conclave,Attending,adhiyamaan college of engineering,Whatsapp,Students,2025,Aurangabad,8.3,5,0-2 Lakh,25,no ,2
walter,walter@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"s.i.e.s. graduate school of technology, nerul, navi mumbai",Whatsapp,Students,2023,Dhule,7.9,3,0-2 Lakh,13,no,2
dominic,dominic@xyz.com,1,Internship Program(IP) Success Conclave,Attending,government polytechnic gandhinagar,Whatsapp,Students,2025,Kalyan,7.1,5,0-2 Lakh,17,yes,2
dana,dana@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"vishwakarma institute of technology, pune",Whatsapp,Data Science and Analyst,2023,Navi Mumbai,8.7,5,0-2 Lakh,21,no,2
kyle,kyle@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"kle society's college of bca, rls institute, belagavi",Whatsapp,Students,2025,Mumbai,8.2,5,0-2 Lakh,8,no,2
janis,janis@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"kle society's college of bca, rls institute, belagavi",Whatsapp,Asst. Professor,2026,Matheran,9.5,7,2-5 Lakh,21,no ,5
juli,juli@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"priyadarshini college of engineering, nagpur ",Whatsapp,B.Tech,2023,Nashik,6.7,7,2-5 Lakh,30,no ,5
greg,greg@xyz.com,1,Internship Program(IP) Success Conclave,Attending,new horizon institute of technology and management ,Whatsapp,Students,2024,Solapur,8.2,7,2-5 Lakh,8,yes,5
steve,steve@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"symbiosis institute of technology, pune",Whatsapp,Engineering ,2024,Sangli,8.7,5,2-5 Lakh,21,no,5
victoria,victoria@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"ld college of engineering, ahmedabad, gujarat ",Whatsapp,Students,2026,Vasai,7.3,7,2-5 Lakh,8,no,5
carl,carl@xyz.com,1,Internship Program(IP) Success Conclave,Attending,dkte society's textile and engineering institute ichalkaranji,Whatsapp,Students,2024,Shillong,8.6,4,0-2 Lakh,8,no,2
romaine,romaine@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"ld college of engineering, ahmedabad, gujarat ",Whatsapp,Data Science and Analyst,2023,Puri,9.2,5,0-2 Lakh,8,no,2
otis,otis@xyz.com,1,Internship Program(IP) Success Conclave,Attending,government polytechnic gandhinagar,Whatsapp,Data Science and Analyst,2025,Cuttack,7.9,4,5-7 Lakh,10,yes,7
benjamin,benjamin@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"vishwakarma institute of technology, pune",Whatsapp,Students,2023,Mahe,8.1,3,0-2 Lakh,15,no ,2
leora,leora@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"kle society's college of bca, rls institute, belagavi",Whatsapp,Students,2023,Amritsar,9.5,4,0-2 Lakh,12,no ,2
arthur,arthur@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"priyadarshini college of engineering, nagpur ",Whatsapp,Students,2026,Patiala,9.8,7,0-2 Lakh,20,yes,2
johnnie,johnnie@xyz.com,1,Internship Program(IP) Success Conclave,Attending,st.francis institute of technology,Whatsapp,CEO,2024,Sangrur,9.6,3,0-2 Lakh,21,yes,2
ingrid,ingrid@xyz.com,1,Internship Program(IP) Success Conclave,Attending,late g. n. sapkal college of engineering,Whatsapp,Engineering ,2024,Amer,6.2,4,5-7 Lakh,9,no,7
eloise,eloise@xyz.com,1,Internship Program(IP) Success Conclave,Attending,a. c. patil college of engineering,Whatsapp,Students,2023,Jaipur,9.5,7,0-2 Lakh,21,no,2
lorna,lorna@xyz.com,1,Internship Program(IP) Success Conclave,Attending,wilson college ,Whatsapp,Students,2024,Jalor,6.8,3,0-2 Lakh,5,no,2
camille,camille@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"ld college of engineering, ahmedabad, gujarat ",Whatsapp,Students,2025,Jhalwar,8.4,5,0-2 Lakh,16,no,2
kimberly,kimberly@xyz.com,1,Internship Program(IP) Success Conclave,Attending,dkte society's textile and engineering institute ichalkaranji,Whatsapp,Students,2026,Jodhpur,9.9,4,0-2 Lakh,21,no,2
breanna,breanna@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"priyadarshini college of engineering, nagpur ",Whatsapp,Intern,2023,Kota,6.6,5,0-2 Lakh,8,no,2
lucy,lucy@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"vidyalankar institute of technology, mumbai",Whatsapp,Intern,2023,Pali,6.7,4,0-2 Lakh,7,yes,2
jonathan,jonathan@xyz.com,1,Internship Program(IP) Success Conclave,Attending,silicon institute of technology,Whatsapp,Students,2025,Gangtok,8.3,4,0-2 Lakh,9,no ,2
traci,traci@xyz.com,1,Internship Program(IP) Success Conclave,Attending,don bosco college of engineering fatorda goa,Whatsapp,Students,2024,Nizambad,8.9,5,0-2 Lakh,24,yes,2
dale,dale@xyz.com,1,Internship Program(IP) Success Conclave,Attending,pillai college of engineering new panvel,Whatsapp,Intern,2023,Agartala,9.5,4,0-2 Lakh,17,yes,2
stella,stella@xyz.com,1,Internship Program(IP) Success Conclave,Attending,st xavier's college ,Whatsapp,Data Science and Analyst,2026,Agra,8.5,3,2-5 Lakh,11,no,5
velma,velma@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"vidyalankar institute of technology, mumbai",Whatsapp,Students,2024,Ghaziabad,7.5,4,0-2 Lakh,8,no,2
rocco,rocco@xyz.com,1,Internship Program(IP) Success Conclave,Attending,adhiyamaan college of engineering,Whatsapp,Students,2025,Hamirpur,7.5,4,2-5 Lakh,21,no,5
julia,julia@xyz.com,1,Internship Program(IP) Success Conclave,Attending,don bosco college of engineering fatorda goa,Whatsapp,Students,2023,Deoria,7.7,3,5-7 Lakh,30,no,7
darrell,darrell@xyz.com,1,Internship Program(IP) Success Conclave,Attending,pillai college of engineering new panvel,Whatsapp,Artificial intelligence,2026,Budaun,9.9,5,7 Lakh+,24,yes,7
edie,edie@xyz.com,1,Internship Program(IP) Success Conclave,Attending,"vidyalankar institute of technology, mumbai",Whatsapp,Students,2025,Kanpur,7.9,5,0-2 Lakh,19,no ,2
kimberley,kimberley@xyz.com,1,Internship Program(IP) Success Conclave,Attending,g h raisoni institut of engineering and technology pune,Whatsapp,Students,2023,Lucknow,7.7,4,0-2 Lakh,21,no ,2
catherine,catherine@xyz.com,1,Internship Program(IP) Success Conclave,Attending,government polytechnic gandhinagar,Whatsapp,Students,2025,Mathura,7.4,3,0-2 Lakh,17,yes,2
melvin,melvin@xyz.com,1,Internship Program(IP) Success Conclave,Attending,d y patil institute of mca and management akurdi pune,Whatsapp,Artificial intelligence,2024,Varanasi,7.6,5,0-2 Lakh,9,no,2
branden,branden@xyz.com,1,Internship Program(IP) Success Conclave,Attending,ap shah institute of technology ,Whatsapp,Cyber Security,2024,Almora,8.7,3,0-2 Lakh,8,no,2
